Lp.;Dzial;Osoba wprowadzajaca;nazwa uslugi;metoda/zakres prac;cena netto [zl]
1.;DIL;Tomasz Miodonski;Usluga koparko_ ladowarka CAT 428E;Praca koparko_ ladowarka CAT 428E z operatorem;130 zl/mtg;;
2.;DIL;Tomasz Miodonski;Dojazd koparko-ladowarki CAT 428E;Dojazd koparko-ladowarki CAT 428E;100 zl/mtg;;
3.;DIL;Tomasz Miodonski;Wypozyczenie zageszczarki gruntu Wacker;Wypozyczenie zageszczarki gruntu Wacker;65 zl/mtg;;
4.;DIL;Tomasz Miodonski;Usluga koparko_ ladowarka CAT 302,5C;Praca koparko_ ladowarka CAT 302,5C z operatorem;100 zl/mtg;;
5.;DIL;Tomasz Miodonski;Transport koparko-ladowarki CAT 302,5C;Transport koparko-ladowarki CAT 302,5C;4,60 zl/km;;
6.;DIL;Tomasz Miodonski;Usluga ladowarka kolowa HSW 534E;Usluga ladowarka kolowa HSW 534E;260 zl/mtg;;
7.;DIL;Tomasz Miodonski;Transport ladowarki kolowej HSW 534E;Transport ladowarki kolowej HSW 534E z operatorem;35/km;;
8.;DIL;Tomasz Miodonski;Usluga ladowarka teleskopowa CAT TH 407C;Usluga ladowarka teleskopowa CAT TH 407C z operatorem;140 zl/mtg;;
9.;DIL;Tomasz Miodonski;Dojazd ladowarka teleskopowa CAT TH 407C;Dojazd ladowarka teleskopowa CAT TH 407C;100 zl/mtg;;
10.;DIL;Tomasz Miodonski;Usluga spycharka TD-9H;Najem spycharki TD-9H;175 zl/mtg;;
11.;DIL;Tomasz Miodonski;Transport spycharki TD-9H;Transport spycharki TD-9H;35/km;;
12.;DIL;Tomasz Miodonski;Usluga transportu pojazdem STAR S2000;Usluga transportu pojazdem STAR S2000;4,60 zl/km;;
13.;DIL;Tomasz Miodonski;Usluga wypozyczenia Walca okolkowanego;Usluga wypozyczenia Walca okolkowanego;70 zl/mtg;;
14.;DIL;Tomasz Miodonski;Usluga pracy mechanika samochodowego ;Usluga pracy mechanika samochodowego ;120 zl/h;;
1.;Dzial Inwestycji;Krzysztof Marczyk;Uzgodnienie dokumentacji projektowej;analiza dokumentacji/propozycja wprowadzenia zmian;100;;
1.;Dzial Funduszy Zewnetrznych i Srodowiska;Joanna Tabaszewska-Lis;Przygotowanie próbki (wegla kamiennego i biomasy stalej) do badan;LP-02 wydanie 02 z 20.08.2021 r./ Kruszarka szczekowa/mlyn tnacy FRITSCH Pulverisette 19;40;;
